#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
1842,210,53501,0.04474338,0,0,0,495.3374,858.3477,257.7504,87.64732,91.81886,158.4386,263.4935,32.91768,3.578114,5.905708,0,571.6603,943.6703,2696.201,0,0,61.8275,32.71002,10.61475,21.18088,1744.77,62.2967,137.2328,96.48546,0,0,0,46.38414,69.71009,18.33697,16.15445,17.331,10.80014,15.74393,4.22651,4.749341,3.825503,0,27.71676,53.03965,151.5419,0,0,4.859865,3.486664,2.871316,1.346117,69.48398,3.959168,6.209273,4.595028
6638,77,56370,0.4135072,16.66643,60.67413,181.8309,82.24831,270.7471,161.0718,53.96933,13.01417,25.07497,66.37231,35.06672,45.15496,8.583442,9.257668,155.45,660.3657,1886.759,9.898588,0,19.39827,62.06726,34.45653,94.52654,562.8409,278.0192,67.75005,82.99416,7.16829,11.49795,16.67379,186.0163,180.166,12.522,21.98967,25.85106,7.016153,8.420676,8.274128,7.659742,4.675465,5.163552,11.90253,27.94026,79.82932,5.23744,0,6.390402,7.229228,7.842161,5.339085,22.51851,15.70319,10.38068,16.61732
6128,197,56236,0.4595804,12.68412,11.93061,12.57321,66.60091,100.3883,31.15649,5.765415,28.44636,0,16.47305,1.95E+08,13.06729,0,0,43.14863,74.03977,211.5422,0,4.008767,9.764249,16.98921,12.26765,50.44911,196.8416,148.3797,56.61764,32.396,13.64307,10.31332,6.365263,130.9658,77.73988,11.11442,11.76797,0,0,10.26602,2.75E+10,7.902737,0,0,9.081899,7.880837,22.51668,0,6.617893,5.620855,7.691951,10.06456,6.775429,22.75121,19.92773,30.2163,14.97113
364,384,52000,0.09818234,0,0,0,845.9528,1459.833,192.9545,73.58836,110.4876,163.5927,290.963,25.57459,0,0,0,657.2269,697.9429,1994.123,8.364121,0,69.20928,140.4497,62.4074,75.64059,2160.956,222.4723,360.8547,267.7676,0,0,0,120.2943,126.2783,18.86655,54.75291,52.27903,16.02519,20.04803,5.9807,0,0,0,39.80985,36.8735,105.3529,7.740347,0,6.304686,9.248125,6.76929,4.449159,93.93238,13.08576,19.64843,12.78867
582,445,52045,0.08497227,0,0,0,107.3802,874.3768,265.7346,21.09626,169.7486,145.5608,275.581,40.29271,0,0,1.997002,633.4307,1136.778,3247.936,0,10.12089,0,20.1984,10.51404,21.70731,1879.931,63.84502,106.4041,69.13727,0,0,0,32.4613,18.72815,8.826219,19.70741,23.88528,5.714618,6.301527,3.519579,0,0,5.801494,7.962076,6.865954,19.61701,0,5.355909,0,3.008911,2.985312,0.9382747,15.76978,2.759632,4.509284,4.748644
701,324,52179,0.1695149,0,21.1799,0,81.00534,155.7488,27.50169,5.598126,7.867759,10.34159,30.55428,8.768737,2.531576,0,4.695488,85.59689,84.62511,241.786,0,6.29064,16.86253,7.703969,4.924934,9.196742,294.0767,27.04924,42.39611,23.97947,0,13.58062,0,10.72942,12.20097,5.266309,4.670761,4.894011,5.577339,3.25278,9.069931,4.679865,0,3.63206,6.90743,2.834666,8.099047,0,2.847732,3.802794,6.63489,3.218982,1.153157,5.768238,3.391638,7.301708,5.370565
1095,21,52521,0.2786098,0,0,5.409357,38.96144,67.16222,7.182614,0,12.84438,14.59452,21.61583,0,0,0,0,49.00512,16.77679,47.9337,4.365581,1.529794,9.370528,8.158911,1.350803,23.54372,215.1287,69.24624,31.38933,29.92668,0,0,12.2379,10.09655,16.98682,5.629194,18.66737,9.422139,5.135058,6.169261,0,0,0,0,9.098651,2.659832,7.599521,23.64211,58.36679,3.430314,5.061598,27.35327,3.802498,29.17111,11.18382,5.536171,5.817166
2498,251,54169,0.08505557,0,0,0,947.7965,700.832,322.506,0,215.2281,158.6568,305.8133,85.74061,56.79621,6.054312,0,528.3544,974.192,2783.406,0,0,40.13412,227.0283,84.99142,479.6727,1585.437,1410.802,419.3297,421.5779,0,0,0,48.60563,113.1606,20.50292,0,18.40515,18.59938,21.50983,20.18021,16.03706,13.04242,0,19.79899,13.84742,39.56406,0,0,18.37433,15.52296,15.78522,9.091515,28.51151,26.73975,18.9951,19.47073
4281,695,55836,0.4003325,7.845426,13.85312,34.3531,50.20485,36.33326,46.63542,20.78333,1.359094,7.906267,23.71731,13.57985,8.737536,2.917749,3.036246,53.69146,172.1361,491.8174,0,0,5.912005,16.88453,4.409631,36.14675,174.4775,106.314,22.43862,20.72223,3.2823,4.201098,4.990014,60.48568,58.20298,4.336274,4.359037,5.272742,2.065215,4.34193,3.914176,3.04151,1.549275,2.059958,4.943381,10.747,30.70573,0,0,2.355328,3.878163,2.480675,1.97263,9.181301,5.801852,5.164862,5.146399
6417,981,56308,0.06367541,0,0,1326.666,668.6241,602.5106,331.3638,62.04209,172.5827,174.9366,314.3162,80.24511,7.928117,11.75684,8.723619,659.4966,1424.968,4071.336,0,3.943049,78.93948,25.04195,7.187279,20.23443,1864.217,59.51304,73.60699,58.01347,0,0,0,78.02138,9.855856,5.331376,85.47358,54.63153,4.542683,4.88086,3.459894,2.382188,1.98183,2.355536,6.365387,7.647492,21.84998,0,2.602159,2.774711,1.885574,1.555778,0.6860192,22.04957,2.017704,2.335866,1.703274
