#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
689,449,52262,0.2788842,0,0.027230938,0.133329082,2.183381002,0.764163873,0,0,0.131551351,0.127727613,0.462974087,3634127.818,0.012282524,0,0,0.80184535,0.223340641,0.631856611,0,0.020646612,0.080014419,0.104967568,0.085662462,0.298609652,2.485720584,0.874726199,0.395006069,0.400616848
680,412,52200,0.2793512,0,0,0.432574745,0.761908349,1.612571391,0.278026994,0,0.19761572,0.274496273,0.323412977,1760838570,0.036489769,0.00337773,0,0.703168165,0.127256997,0.357920588,0.031784835,0,0.128573242,0.123276,0.070915906,0.234256194,2.179821311,0.684568996,0.376465382,0.257003832
6796,851,56453,0.4226491,0.088371428,0.167783733,0.435962858,0.126930764,1.886026121,0.824598862,0.214869258,0.198353981,0.217244366,0.436485294,0.178480382,0.161527377,0.037021112,0,1.039260805,3.39770166,9.724422719,0,0.042518278,0.090930269,0.26355779,0.13896722,0.768360078,3.221708496,2.261474188,0.418016073,0.678167358
1601,168,53115,0.09270343,0,0,0,0.742779352,0.926650841,0.451821962,0,0.313174615,0.264365649,0.451697103,0.058955005,0.012041146,0.009385064,0,0.984255991,1.923105201,5.490696081,0.007166137,0,0.1224327,0.068709094,0.025220831,0.043924696,3.051193572,0.129152802,0.224288268,0.161688273
6167,231,56189,0.05639489,0,0,4.241671747,2.114876706,0,0.389688798,0.289105417,0,0.257448041,0.446025674,0.070951234,0.012344775,0.005155076,0,0.969639439,1.554682069,4.435839862,0.011562841,0,0.104583822,0.057610054,0.015103508,0.037097697,3.005882261,0.109049427,0.225173262,0.168077516
443,542,51873,0.05216984,0,0,0,0.847529362,1.351584189,0.336210169,0.074162334,0.249324035,0.278605099,0.473567393,0.037329972,0,0,0,1.043925916,1.492435125,4.272290375,0.011848279,0,0.118076659,0.050927844,0.024701671,0.051352666,3.236170338,0.151155937,0.258514612,0.180639006
1215,273,52725,0.1374828,0,2.164467681,0,0.505584113,0.674309798,0.431322071,0.14807611,0.14681171,0.247492603,0.443266322,0.057561882,0.007639669,0.010660517,0,1.015738228,2.099412971,6.002505159,0,0,0.121741985,0.03291563,0.023210923,0.04285914,3.148788506,0.126092292,0.126680637,0.1116946
4189,519,55679,0.09191518,0,0.134882024,0,0.595475988,0.853889075,0.327813289,0.12511765,0.14374979,0.242069016,0.4428606,0.062098732,0.006673873,0,0,0.938478881,1.512739751,4.309880566,0.01061743,0,0.100911932,0.056684375,0.02389064,0.02885687,2.90928453,0.084774709,0.198515754,0.13713092
6178,377,56213,0.07961282,0,0,0.212740777,0.427162271,0.929771369,0.40655433,0.25762392,0.056585014,0.243159117,0.449519418,0.061473306,0,0.010191059,0,0.934158745,1.912360328,5.447300453,0.012808612,0,0.106999533,0.027601677,0.013770593,0.02327365,2.895892111,0.068366754,0.139836967,0.098414297
658,17,52146,0.06240502,0,0,0,0.801809867,1.041012179,0.413755672,0.265639206,0.050146626,0.255878088,0.452651317,0.048576856,0.010852385,0.006167019,0.006355,0.946554756,1.784791639,5.086915937,0.009921365,0,0.113433367,0.050345545,0.021130193,0.03108975,2.934319745,0.091348709,0.176794855,0.128920431
741,279,52261,0.06214196,0,0,0,1.038354626,1.162344967,0.291301174,0.135636708,0.147176256,0.264579437,0.445831753,0.026066779,0.004039003,0,0,0.930360482,1.291866573,3.679172823,0.00466002,0,0.107536151,0.053334251,0.019581896,0.068928158,2.884117495,0.202462597,0.245908985,0.183315375
991,299,52707,0.1563667,0,0.445898904,1.059665407,1.093925628,1.961832785,1.041493423,0.283041964,0.162521469,0.188318581,0.378383886,0.19513959,0.217695844,0.102615441,0.02809203,0.984008332,3.676398174,10.49643707,0.050698777,0.054120287,0.051448986,0.499199646,0.173540423,0.686541877,3.050425828,2.018645011,0.643074459,0.55985755
1213,500,52972,0.07143055,0,0,0,0.841985461,1.366130763,0.40808418,0.210725882,0.076026808,0.251653513,0.457652287,0.059820875,0,0,0,0.980585709,1.757642197,5.017442006,0,0,0,0.064170441,0.0180213,0.037995727,3.039815699,0.111712109,0.229158453,0.163730468
3954,189,55680,0.05948849,0,2.934135117,0.010502076,0.353980478,0.415843347,0.459927374,0.159499617,0.160161097,0.260304382,0.442024111,0.116680136,0.019343555,0.020142231,0.005527316,0.970781111,2.179963747,6.220229031,0.002576951,0.001335837,0.102735585,0.02540688,0.008307374,0.012688219,3.009421445,0.037298081,0.084672601,0.064157092
3957,360,55664,0.07283311,0,0,4.044668793,0.681771122,0.929340043,0.467133395,0.133831014,0.146032342,0.244579021,0.436066602,0.076604839,0.007911905,0,0,0.981846238,2.138950415,6.106291666,0,0,0,0.037956732,0.026642179,0.026142873,3.043723338,0.076865072,0.158027432,0.119262242
4082,889,55367,0.4526703,0.120746673,0.346775088,0.774609697,0.425833793,1.104576149,0.832266708,0.169338504,0.245178319,0.226898211,8431344639,0.153466983,0.244869664,0.03559609,0.027844002,0.883684482,3.461621928,9.835907209,0,0.003197343,0.089150146,0.16386496,0.078131447,0.23184234,2.739421895,0.680350003,0.31939246,0.291283778
619,278,52056,0.06310216,0,0,0,0,0,28.10012668,0.175007587,0.192538993,0.33600229,0.504643112,0.070347744,0,0.011720002,0,1.112391821,1.849736791,5.310148735,0.001765028,0,0.118616169,0.043261697,0.020582983,0.039640069,3.448414647,0.116815628,0.250104894,0.173791727
450,409,51908,0.04662029,0,0,0,0.840473659,0.8484474,1.172300165,0.578631503,0,0.3348205,0.52948554,0.546780931,0.234995505,0.003253565,0,1.060233923,2.138786155,6.126792779,0.014689756,0,0.11187018,0.408552582,0.174489685,0.347260353,3.28672516,1.022446022,0.37809802,0.326377882
7292,514,56709,0.2212414,2.555713805,0,3.670802335,0.742564214,1.520311415,0.445944362,0.101961937,0.317839314,0.275338145,0.488452942,0.096792425,0.023241283,0.010997965,0.0246923,1.033020972,1.946953042,5.570796434,0,0,0.109740855,0.039480702,0.024685688,0.034469488,3.202365012,0.101441082,0.163483942,0.122967831
992,19,52644,0.07864755,0,0,0,0.984102091,0.412058886,0.426828271,0.10418117,0.216609216,0.266338907,0.451481129,0.083870086,0,0,0,0.968309984,1.901573352,5.425262278,0.004550266,0,0.113463071,0.041775126,0.022940388,0.031996028,3.001760949,0.094050604,0.152663474,0.104784434
6406,865,56330,0.05556581,0,0,2.808600529,1.450289786,1.182407501,0.450022135,0.018180119,0.320568315,0.263713473,0.452301655,0.101658759,0.008387659,0.014646475,0,0.975792348,1.965763863,5.610328272,0.001261914,0.007014081,0.111274732,0.03448453,0.011481275,0.024790467,3.024956279,0.072880507,0.146110518,0.113416615
384,281,51821,0.06599529,0,0,0,0.649238239,1.259722351,0.435362002,0.095760439,0.209657108,0.245125877,0.455894909,0.058412245,0.00375715,0.010022889,0,0.929055313,1.78325344,5.078302325,0.011875461,0,0.111333481,0.045716709,0.015907443,0.042145614,2.880071471,0.123791062,0.191696002,0.136196435
469,110,51913,0.1107017,0,0,0.276264579,0.626797658,0.897235835,0.404671898,0.237367393,0.036911606,0.223473809,0.431703715,0.052386881,0.004247367,0.00611223,0,0.932091877,1.823639685,5.194070638,0.008398593,0.028528085,0.11268508,0.049064568,0.016278437,0.039598162,2.88948482,0.116315617,0.1740162,0.132847381
4021,148,55620,0.08348972,0,0,2.756177994,0.58956697,1.477435718,0.377782776,0.161553716,0.285277718,0.237858976,0.437096188,0.072120067,0,0,0,0.966136361,1.811165475,5.166807999,0,0.013786605,0,0.059353302,0.021323896,0.033341107,2.995022719,0.098000372,0.203104321,0.156178999
693,463,52254,0.08846061,0,0,0,0.6162499,0.79309701,0.510230192,0.170130382,0.142447606,0.236757257,0.450574759,0.057169637,0,0,0,0.994258933,2.220714158,6.343267126,0,0,0.121824599,0.035575233,0.006750532,0.036906228,3.082202691,0.108536271,0.122091211,0.096243032
945,423,52652,0.0474776,0,0,0,1.202022967,0.752874162,0.317334367,0.147545151,0.10215072,0.239267863,0.453938634,0.042687747,0.017826393,0.006378113,0.011101694,0.97271484,1.529340154,4.36415081,0.017429671,0,0.104572292,0.043185934,0.020210347,0.053855343,3.015416003,0.158318019,0.253690984,0.187366017
1095,21,52521,0.2786098,0,0,0.126803837,0.846487665,1.459186076,0.150751377,0,0.262102817,0.2843887,0.387852623,0,0,0,0,0.732354395,0.243241665,0.685380159,0.059377021,0.020806992,0.110427055,0.089631596,0.014695909,0.249004081,2.270298625,0.728207965,0.322934724,0.307173911
1163,284,52669,0.1217649,0,0,4.382307961,2.826811866,1.842598244,0.357733459,0.10671261,0.263566948,0.289535445,0.490228545,0.061262716,0.012839799,0.002072405,0.004000776,0.969547127,1.5459756,4.410980566,0,0,0.113438421,0.054300152,0.018889521,0.066291035,3.005596094,0.194863459,0.217239488,0.163556226
3772,958,55277,0.4572266,0,0,0,1.116330201,1.497168944,0.206154133,0.126762648,0.133562896,0.1082655,0.245097218,47030386.36,0.068207815,0.023081007,0,0.641236448,0.327397976,0.917051334,0.099582394,0.013635799,0.07970399,0.125117004,0.036878568,0.272746983,1.98783299,0.795709194,0.456681677,0.080691238
3953,495,55322,0.06787407,0,0,0.012944422,0.872685295,0.812105326,0.440887925,0.064878047,0.235991469,0.23998001,0.434119632,0.069824381,0.003774001,0.008399745,0,0.912936932,1.98138563,5.638130315,0,0.011521808,0.101635383,0.050336799,0.012813149,0.038637234,2.830104489,0.113449898,0.203766769,0.142339049
4197,684,55479,0.2823266,0.357638218,0.201923255,0.711586643,0.099234271,2.363268048,0.240820566,0,0,0.144715137,0.142411837,61.75182358,0,0,0,0.867644771,0.573288696,1.627620013,0,0.096478077,0,0.285078737,0.199511767,0.604399984,2.689698789,1.773041078,0.581817077,0.532287315
6689,933,56396,0.2779508,0.080445054,0.035161451,0.050411945,2.900428273,1.005303175,0.210747463,0.245141892,0.214385334,0.324436967,0.547516868,0,0,0,0,1.50147413,1.395154983,4.059136553,2.25E-18,0.010917845,0.214287723,0.182141143,0.066016086,0.237551634,4.654569803,0.703890137,1.047663739,0.475305516
