#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
1391,267,52817,0.07447512,0,0,0,375.206,1667.662,1004.432,322.8036,207.495,268.1365,433.5404,143.754,307.9567,43.66023,46.7816,1000.845,3990.536,11401.53,0,19.12725,66.79469,247.6457,98.95882,599.9721,3028.753,1764.624,623.8743,507.4923,0,0,0,7997.68,7771.43,40.5552,155.7611,145.3696,22.7403,23.24262,20.60929,19.28793,12.80803,19.92602,25.13958,48.01381,137.1823,0,161.5455,157.2639,12.56365,15.81916,9.926323,43.40559,29.19507,20.88271,22.07375
957,210,52398,0.06416779,0,0,0,499.9535,981.7737,251.4715,79.72326,147.8877,174.5645,280.1615,26.62076,0.9065267,4.441405,0,499.5934,603.3928,1723.979,1.880441,4.552058,67.1767,37.30294,13.03462,28.92264,1211.977,85.06657,118.0733,97.36803,0,0,0,50.95509,101.6103,26.50701,12.14195,19.83865,17.86113,26.95506,4.459158,23.52802,5.190373,0,42.3915,49.21914,140.6261,159.0465,96.53921,6.104284,3.599582,2.900845,2.18354,82.80441,6.422178,8.083254,6.608521
1733,326,53047,0.1114084,0,0,103.6575,489.3605,490.8272,369.3378,136.0089,105.9245,186.5644,340.5907,65.8452,0,7.456639,1.639919,756.6655,1703.262,4866.462,0,5.015273,105.4914,32.36852,15.71801,63.2308,2618.833,185.9729,108.6085,89.2925,0,0,35.06515,43.47444,52.37607,32.21151,22.24809,21.42178,16.91223,25.63299,8.230534,0,3.925505,0,57.13778,124.7741,356.4976,0,115.0915,7.57221,3.255391,3.717764,3.843243,121.6412,11.30366,6.646673,6.263526
2923,155,54563,0.2311331,11.34929,283.4983,217.2271,167.8465,271.2155,70.18548,0,49.1034,40.13851,75.08311,10.77506,0,0,0,171.678,325.6352,930.3864,0,1.305977,19.96842,10.02433,4.393382,6.195696,558.9308,18.22264,36.19363,20.78632,3.394368,0,0,25.19859,4.297378,2.194082,0,2.242683,1.542875,1.893411,1.014903,0,0,0,2.785221,2.462356,7.035303,0,1.12357,1.466351,2.06934,1.855308,0.5707471,5.125531,1.678668,1.843432,2.590472
2101,304,53858,0.05988213,0,0,0,657.3028,833.7178,405.343,112.9448,113.616,205.2288,367.6694,66.79172,6.958516,6.521744,4.705829,781.2026,1546.566,4418.761,3.744097,0.4793961,96.80474,44.97493,15.13465,23.5115,2497.856,69.15148,157.4378,119.5399,0,0,0,70.90966,97.74416,41.46125,16.13535,16.23464,16.29976,34.50432,7.628109,4.240588,4.81917,1.10E+10,61.19365,124.5736,355.9245,8.30E+09,0,7.872091,3.705733,2.645921,1.89177,146.7277,5.564029,10.86894,7.875123
2776,219,54554,0.1855737,0,140.3989,374.17,222.497,407.8777,353.4049,95.74351,66.03477,72.94516,147.898,47.39069,106.9235,0,18.9948,334.7202,1424.089,4068.824,11.01609,9.386264,35.53584,70.55205,26.39434,195.3615,1117.885,574.5927,169.8949,166.8893,0,17.02387,23.47247,152.0243,133.819,22.58962,25.94678,23.42491,8.077354,10.87793,8.361577,9.84087,0,6.619335,17.4192,51.3666,146.7617,23.21793,35.31454,5.887245,6.76765,7.684901,6.080617,33.52193,17.88417,11.28624,10.1387
5359,189,55953,0.07370106,0,799.1997,0,9.224759,355.2773,74.42918,80.82835,56.09706,50.69463,91.29906,14.85527,0,0,0,214.8459,349.9933,999.981,0,0,0,13.65655,1.950376,7.236622,679.039,21.28418,45.99057,34.67698,0,0,0,14.10358,7.21412,2.975003,0,2.958477,2.470213,2.559861,1.872166,0,0,0,3.663946,2.80379,8.010829,0,0,0,1.561813,2.53426,0.5455545,8.382843,1.604572,1.684042,1.729279
847,522,52426,0.05891549,0,0,0,922.2576,1510.588,309.6768,68.97546,216.3259,294.4686,530.1457,32.90729,5.620317,0,0,1164.449,1558.786,4453.673,14.41967,0,141.4193,68.49146,25.26121,86.53822,3974.375,254.5242,383.9221,278.8832,0,0,0,55.40524,54.85585,11.84996,45.92702,35.33574,9.739893,10.27301,4.325267,5.469814,0,0,16.61573,13.16098,37.60279,6.834037,0,4.974515,3.941103,3.069256,1.941879,28.62843,5.711408,6.72395,5.007524
4021,148,55620,0.08348972,0,0,727.1894,156.864,393.0961,100.9002,43.2831,76.43095,64.05262,118.7837,19.61806,0,0,0,267.9177,503.9362,1439.818,0,3.863173,0,17.02901,6.124608,9.606145,863.1255,28.25337,58.69692,45.14713,0,0,116.147,26.37532,41.26902,10.8503,0,7.898277,6.920148,10.34443,2.554826,0,0,0,20.40112,46.29303,132.2658,0,1.505787,0,2.276702,1.662067,0.8806249,51.83301,2.590073,4.839439,2.980618
959,137,52411,0.1163203,0,0,444.7111,474.4223,674.3862,342.154,163.3189,83.71542,189.102,343.2756,37.10814,0,9.801491,0,717.7608,1397.329,3992.369,5.804412,0,92.5607,31.06771,10.77026,40.47705,2159.77,119.0501,113.9458,90.52001,0,0,108.1757,31.99749,28.98733,10.20395,18.71367,11.71059,7.131596,9.733733,4.765552,0,3.471837,0,11.75999,11.32304,32.35155,5.261378,0,4.050652,2.885171,2.974679,1.444497,21.6332,4.24852,3.991433,3.777646
415,285,51810,0.05153538,0,0,0,291.7995,566.808,222.3736,49.75171,111.145,147.3175,265.2949,27.81478,8.935269,6.150167,3.993253,581.3754,1082.056,3091.589,3.939513,0.2244186,71.52725,28.86213,7.697715,20.96087,1819.553,61.6496,115.7931,83.28559,0,0,0,22.55336,23.7709,10.04812,19.88429,18.02165,7.098632,7.275809,3.56931,5.954857,3.860178,3.62331,7.650593,7.517313,21.47804,22.97163,19.18187,3.410948,2.286095,1.866839,1.039437,15.47802,3.057166,3.162906,3.067672
555,517,52266,0.1254544,0,0,1804.36,592.316,467.0233,173.9961,108.1174,26.64919,124.4672,217.7646,17.26607,0,0,0,473.6708,751.7595,2147.884,0,0,60.58149,31.25298,13.83413,30.51707,1518.462,89.7561,115.0304,91.50755,0,0,0,69.26738,49.60178,16.70759,28.77172,29.44832,10.22022,16.95348,3.099339,0,0,0,33.79278,49.34522,140.9864,0,0,4.106621,2.62247,2.647546,1.591245,76.78819,4.680132,6.420243,5.531727
1827,228,53531,0.07659444,0,0,0,424.7167,1372.202,428.8507,160.5076,172.8746,285.5386,497.6919,68.17141,0,11.54791,0,1052.147,1861.885,5319.67,7.221571,0,120.9371,51.79837,18.40644,44.87333,3053.36,131.9804,190.2001,134.396,0,0,0,82.48652,71.10892,10.89344,32.88426,31.69029,9.273127,9.961964,5.927696,0,4.614294,0,13.81013,13.40169,38.29055,5.251459,0,6.243176,4.431839,3.182803,1.71105,30.85012,5.0325,5.744286,7.199282
2245,467,54208,0.04700525,0,0,0,2702.502,0,819.4738,436.4139,0,296.8037,501.8411,133.3442,173.0491,22.79346,11.63065,1051.669,2374.303,6783.723,0,29.11022,98.40327,317.0883,94.48394,541.6813,3164.714,1593.18,645.2968,569.4928,0,0,0,185.3011,0,44.20439,32.61876,0,22.87894,29.07744,15.45682,21.30914,10.06341,12.67352,38.33681,69.84042,199.544,0,9.075759,11.8655,17.255,8.904017,16.37732,106.8882,48.16858,23.95406,20.34686
3736,396,55214,0.1999277,9.864789,7.423841,15.22036,124.8046,168.021,81.46304,19.62267,33.96591,43.70675,80.51102,12.62697,1.152878,0,0,175.5289,360.7823,1030.807,0.3815639,0,17.40973,11.9856,4.249724,4.569773,545.0887,13.44051,29.34946,24.22558,3.549634,5.158814,5.498965,10.83902,8.981883,2.847962,6.250052,5.963766,2.375593,2.460202,1.748538,2.958589,0,0,3.42149,2.556032,7.302948,6.641756,0,1.754866,2.600467,2.868793,0.6042257,6.207267,1.777134,2.484551,2.069831
5989,749,56312,0.07021275,0,0,0,735.3489,468.0549,118.2956,68.3459,29.12168,90.34814,161.0372,24.62356,0,0,0,348.5556,584.3026,1669.436,0,4.054825,843.6284,5.502749,2.026204,11.50542,1103.31,33.83946,66.5122,49.53875,0,0,0,0,9.261769,3.506245,17.79249,13.46759,3.217931,3.904379,2.161473,0,0,0,4.524421,4.479576,12.79879,0,2.450993,17015.86,3.44065,3.994613,0.6685261,10.64584,1.966253,2.06694,1.962397
704,494,52205,0.07056754,0,0,0,295.5872,366.4844,143.6048,21.09748,82.80216,89.39078,160.0414,21.54511,2.896143,2.770803,0,343.5229,586.2973,1675.135,0,9695.438,0,16.43674,6.553441,11.11837,1007.962,32.70108,72.0611,47.04282,0,0,0,15.61577,17.09772,5.268136,13.47279,13.82873,4.283535,4.201947,2.223514,2.646623,56.6405,0,4.55302,3.763436,10.75267,0,6207595,0,1.678053,1.640258,0.6342183,10.35885,1.865348,2.291659,2.046896
6838,251,56429,0.08403771,0,115.4227,56.99018,244.4543,218.7237,214.3007,97.92198,36.53511,94.58515,168.8307,32.66609,1.653812,5.901711,0,352.7187,872.7247,2493.499,0,0,1.357038,9.997359,3.880012,8.725472,996.7525,25.66315,40.24314,31.37099,0,78.18375,25.0977,12.95006,9.583408,5.371873,5.676579,3.791958,2.712096,3.464162,1.978466,1.986382,1.656789,0,4.359414,4.293761,12.26789,0,0,2.1713,1.489421,1.956469,0.5488459,8.246848,1.614253,2.140716,1.456761
459,511,51924,0.2075208,18.96426,67.33712,180.0711,122.1451,515.5099,316.4681,83.47237,56.99038,61.18472,138.4902,57.81098,88.59634,26.60854,12.38782,370.8899,1317.349,3763.855,0,20.11457,40.87211,72.17055,27.05124,248.5515,1382.739,731.0338,215.447,197.5527,7.865609,7.729882,10.09633,271.1708,232.2059,10.77286,41.13139,34.11963,5.13475,6.238373,6.284749,5.975436,7.24695,4.660899,11.07138,26.21007,74.88591,0,4.315473,4.244619,9.565905,4.914896,4.871358,25.98753,14.32752,7.865216,8.170246
1697,48,53142,0.105335,0,0,1.22E+08,318.5013,721.662,252.1091,103.3571,98.50705,168.2731,297.3352,26.39807,0,0,0,649.7251,1165.315,3329.47,0,3.79425,77.11892,32.60257,11.26082,29.31331,2069.332,86.21562,134.408,102.7911,0,0,5.81E+09,32.2593,29.45876,8.307746,18.27235,15.93908,7.560892,7.461573,4.38272,0,0,0,9.570254,8.767869,25.05106,0,3.87794,4.085037,3.408418,3.0044,1.745109,19.07614,5.132674,4.392826,4.135797
2098,291,53460,0.06121592,0,0,0,123.5802,2196.403,396.4791,199.195,88.41769,258.711,447.8057,46.89565,0,0,0,987.8298,1652.026,4720.076,0,11.03621,124.7619,65.67265,17.50836,53.63572,2961.609,157.7521,257.575,196.0713,0,0,0,43.2509,46.91544,10.44547,38.45227,31.33981,9.57169,9.887274,5.365183,0,0,0,16.17685,12.4797,35.65629,0,3.482312,4.539773,3.240025,3.174986,1.613956,33.4897,4.74693,5.679317,5.071896
2345,593,53757,0.05560005,0,0,0,783.0468,1177.82,767.4957,145.5058,228.9515,204.4996,364.1438,113.2702,224.0651,41.18301,45.94137,780.1669,2812.988,8037.109,43.04031,0,97.77068,270.6038,88.61442,758.4061,2454.665,2230.606,731.5999,628.3969,0,0,0,321.2673,271.2032,25.52015,113.7291,109.3313,17.27054,18.07173,17.04767,18.45045,14.27304,17.63241,20.41703,33.64899,96.13997,11.47709,0,17.80216,16.4017,15.9453,11.69801,41.18919,34.4059,20.6858,17.58348
4321,583,55504,0.1017671,0,172.0722,1344.553,765.5743,462.6943,218.6176,10.39223,156.8804,123.5836,211.8502,50.96429,0,0,0,481.9034,998.6044,2853.155,0,0,54.95954,12.727,3.707659,12.50691,1564.749,36.78503,54.05001,40.14067,0,67.25228,199.3223,116.5264,6.840754,4.802779,6.882296,6.374571,2.699349,3.402651,2.25822,0,0,0,4.704965,4.428368,12.65248,0,0,2.481877,2.033316,2.020758,0.659048,9.525932,1.938376,2.45545,1.999197
7112,725,56666,0.4748898,25.10102,66.54562,154.0307,90.55939,660.2545,251.1959,22.3418,90.95538,56.3058,102.4813,42.23817,51.73165,12.20243,5.054408,224.8376,879.2319,2512.091,12.08602,1.417653,15.08942,78.55469,23.1584,88.43022,649.0781,260.0889,128.5435,91.66731,4.578598,6.668711,12.72797,131.3196,138.9569,20.90124,58.8874,54.3643,6.106577,6.478305,3.912111,4.5012,3.611073,2.388603,12.85752,50.93941,145.5412,3.36973,2.895326,5.244983,5.839957,6.463882,4.712469,29.76784,13.8602,11.54774,9.689146
3871,203,55307,0.07265168,0,1293.557,0,189.4017,262.0411,105.0438,47.30349,27.69179,67.12565,116.4036,14.41824,4.162848,1.287412,0,248.7995,440.5661,1258.76,0,0,0,8.820767,4.064573,12.24037,739.4246,36.0011,50.34871,41.61259,0,0,0,13.20823,12.7158,3.296757,5.878481,4.808069,2.366742,2.817706,1.603056,1.235869,1.372422,0,4.234644,2.974047,8.497278,0,0,0,0.8974721,1.407763,0.4652768,7.42004,1.368461,1.621107,1.739454
4647,434,55621,0.3419458,359.3055,0.1114304,519.3906,139.9325,238.0379,96.90816,67.7057,0,57.57516,104.8883,17.89259,0,0,0,233.6607,471.0024,1345.721,0.4149986,0,24.8591,10.81209,2.970072,20.63198,752.628,60.68229,30.70746,27.87349,28.68516,742.8365,0,11.53909,4.099751,3.087724,2.638742,0,2.356272,2.84919,2.295313,0,0,0,3.799865,3.306474,9.44707,3.946024,0,2.439461,2.417112,1.737128,2.410848,7.662959,7.09073,2.46129,2.603189
1222,574,52763,0.07490966,0,0,0,105.877,175.0803,197.7408,55.04535,39.35799,41.8423,93.01614,68.67007,25.52191,13.20125,0.4830171,197.2166,554.2035,1583.439,1.475922,0.01761808,51.25109,106.7355,44.94313,113.8448,652.4048,334.8377,86.24811,107.3533,0,0,0,1784.979,1829.318,15.49279,26.28749,21.17201,10.98569,11.88873,10.49925,7.083521,7.773854,301.205,11.15769,12.15818,34.73764,232.5044,1864.38,29.18844,8.939262,9.638948,3.309175,15.31998,9.732868,8.593743,9.277059
