#Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
1391,267,52817,0.07447512, , , ,0.373264973,1.659034798,1.001630084,0.322531061,0.207319815,0.268767519,0.43705068,0.145005757,0.313135481,0.044422875,0.047628789,1.021807839,4.082671552,11.67601285, ,0.019655671,0.069324965,0.258279352,0.103277564,0.627382718,3.167604302,1.845971093,0.65362643,0.531779638
957,210,52398,0.06416779, , , ,0.957468928,1.880210483,0.493469039,0.159576287,0.29601612,0.360960417,0.613990426,0.058701687,0.002168675,0.010694568, ,1.245481752,1.5366988,4.433801405,0.005009646,0.012127048,0.19799173,0.115519131,0.040643063,0.091997367,3.860993431,0.271668092,0.382952766,0.3163148
1733,326,53047,0.1114084, , ,0.143142044,0.659699348,0.661676584,0.492480666,0.179747722,0.139988542,0.242985701,0.43215584,0.083316109, ,0.009069417,0.001988872,0.906078641,2.02013048,5.746445422, ,0.005829147,0.117168855,0.035161397,0.017021711,0.067865372,2.808843788,0.199244548,0.11555378,0.094932846
2923,155,54563,0.2311331,0.068285911,1.690118687,1.290275586,0.986353455,1.593803537,0.410443934, ,0.28602034,0.232286802,0.429496098,0.061560431, , , ,0.957075159,1.807633857,5.154564189, ,0.007184651,0.107657396,0.053513342,0.023421282,0.032898276,2.966932993,0.096682114,0.19143669,0.109907877
2101,304,53858,0.05988213, , , ,0.846104552,1.073192485,0.520171024,0.144578116,0.145437304,0.261632772,0.465290247,0.084460016,0.008709205,0.008155836,0.00588016,0.972668997,1.920436319,5.480179119,0.004622847,0.000591912,0.118010255,0.054485605,0.018319256,0.02838729,3.015273892,0.08344977,0.189620444,0.143945952
2776,219,54554,0.1855737, ,0.434518246,1.151551876,0.673708898,1.235031645,1.062202498,0.28604043,0.197283492,0.21578652,0.429851518,0.137478832,0.302597388, ,0.053545205,0.935477229,3.954326333,11.26448317,0.030173122,0.025709021,0.094390172,0.184604683,0.068919054,0.507036812,2.899979411,1.489468284,0.438340516,0.430372149
5359,189,55953,0.07370106, ,3.754138061, ,0.043086647,1.659415444,0.346973269,0.376215464,0.261103703,0.235353257,0.421921194,0.0686174, , , ,0.982819971,1.598361506,4.563216614, , , ,0.061411886,0.008765865,0.03247353,3.046741909,0.095480131,0.206060563,0.15535003
847,522,52426,0.05891549, , , ,0.805863817,1.319943811,0.268020371,0.059234419,0.185775332,0.249676337,0.439364716,0.027206429,0.004500439, , ,0.917460787,1.217913898,3.466397883,0.011069045, ,0.104338265,0.049561125,0.018230164,0.061965528,2.844128439,0.181964882,0.272814198,0.198046758
4021,148,55620,0.08348972, , ,2.756177994,0.58956697,1.477435718,0.377782776,0.161553716,0.285277718,0.237858976,0.437096188,0.072120067, , , ,0.966136361,1.811165475,5.166807999, ,0.013786605, ,0.059353302,0.021323896,0.033341107,2.995022719,0.098000372,0.203104321,0.156178999
959,137,52411,0.1163203, , ,0.612269504,0.657437826,0.934540803,0.4755496,0.227539453,0.116634149,0.264503543,0.483554244,0.052311432, ,0.013965646, ,1.027022634,2.004585894,5.734209778,0.008372591, ,0.135163132,0.045640479,0.01583539,0.059657083,3.183770167,0.175547458,0.168336613,0.133755315
415,285,51810,0.05153538, , , ,0.502776604,0.976621965,0.382791181,0.085575877,0.19117596,0.253074192,0.454714951,0.047663038,0.01526286,0.010502799,0.006817678,0.991488479,1.843825747,5.266064587,0.006701177,0.00038174,0.121191286,0.048808082,0.013013954,0.035409512,3.073614286,0.104129326,0.19546277,0.140580021
555,517,52266,0.1254544, , ,3.860580339,1.258060569,0.991942812,0.368333257,0.228254307,0.056260994,0.261605475,0.454072698,0.03597207, , , ,0.970418558,1.535655044,4.381708207, , ,0.121304515,0.062156983,0.027487998,0.06047153,3.008297531,0.177759894,0.227333836,0.180805364
1827,228,53531,0.07659444, , , ,0.398894838,1.288775069,0.405426136,0.152552448,0.164306509,0.27377191,0.484708369,0.066503229, ,0.011535297, ,1.060864685,1.88812563,5.408889741,0.007412657, ,0.127559367,0.055366987,0.019710875,0.048311708,3.288680522,0.142246784,0.205849953,0.145518218
2245,467,54208,0.04700525, , , ,2.556002412, ,0.777342066,0.414972677, ,0.28333595,0.482457364,0.128289557,0.168141598,0.022164553,0.01131854,1.026964142,2.324532712,6.64941483, ,0.028656002,0.098061427,0.317886921,0.094800644,0.544810512,3.183588839,1.60316288,0.650558049,0.574249716
3736,396,55214,0.1999277,0.056265191,0.042329054,0.086771676,0.711243557,0.957527637,0.46416586,0.111791676,0.193506084,0.248942771,0.458381276,0.071887216,0.006559706, , ,0.998440922,2.051885351,5.862123712,0.002169382, ,0.098912003,0.068071301,0.024134807,0.025948739,3.095166859,0.076317651,0.166633241,0.137540522
5989,749,56312,0.07021275, , , ,2.117652341,1.34790105,0.339961381,0.196083207,0.083549597,0.258490891,0.458461669,0.070064786, , , ,0.981487998,1.64233546,4.688474849, ,0.011353542,2.341937624,0.015211613,0.005597902,0.031732801,3.042612792,0.093299873,0.183141796,0.136386316
704,494,52205,0.07056754, , , ,0.851977286,1.056325796,0.416181196,0.061415061,0.241038254,0.262121563,0.475448176,0.064094347,0.00877453,0.008407053, ,1.050447138,1.801416911,5.1582246, ,30.0918399, ,0.052765639,0.021070381,0.035907343,3.256386128,0.105704834,0.233743123,0.152647746
6838,251,56429,0.08403771, ,0.31319743,0.155720664,0.68159236,0.609849787,0.603036494,0.277620608,0.103581438,0.271472337,0.495321235,0.096060175,0.005015236,0.017941192, ,1.086411745,2.709831787,7.771072696, , ,0.004452548,0.033420472,0.013004223,0.029464959,3.367876408,0.08679299,0.136899332,0.106783858
459,511,51924,0.2075208,0.057769188,0.198138881,0.522565951,0.340463815,1.43691779,0.866095811,0.225059701,0.153658485,0.16097997,0.348776042,0.144918354,0.208882072,0.062427722,0.028923741,0.847724596,2.963030457,8.403604699, ,0.043734818,0.082360951,0.14011605,0.052248591,0.472927712,2.627946248,1.38677091,0.403975765,0.369967702
1697,48,53142,0.105335, , ,189805.7718,0.492602807,1.116142154,0.388873444,0.159078201,0.151613429,0.258064591,0.453081716,0.040198262, , , ,0.976090249,1.746553784,4.984763869, ,0.005658592,0.113738094,0.047822096,0.016505116,0.042870634,3.025879772,0.126034354,0.196149845,0.149982344
2098,291,53460,0.06121592, , , ,0.124351491,2.210111222,0.400280237,0.20164911,0.089507008,0.263061736,0.458959604,0.048104127, , , ,1.030377972,1.72820296,4.94432482, ,0.0116162,0.133139852,0.070556846,0.018828076,0.057835394,3.194171715,0.170197132,0.278481298,0.21203282
2345,593,53757,0.05560005, , , ,1.006378195,1.513743963,0.984939435,0.18650599,0.29346477,0.261607725,0.464197987,0.14433911,0.284119875,0.052200457,0.058209192,0.986805208,3.553456608,10.14671589,0.054221945, ,0.122420241,0.337814782,0.110578073,0.945242162,3.059096143,2.77944904,0.910758548,0.782205231
4321,583,55504,0.1017671, ,0.364991894,2.842098883,1.601966702,0.968189321,0.455357644,0.021564965,0.325543252,0.25487805,0.432144416,0.103838909, , , ,0.959364087,1.980001479,5.646680155, , ,0.106005034,0.024319227,0.007075561,0.023778069,2.974028669,0.069882499,0.102382172,0.07601146
