#Index,Failure?,Warnings?,Exit code,#rank,#seq,IONIZATIO,HDEN=%f L,grid parameter string
0,F,F,                  ok,0,0,-0.5,2,"-0.500000, 2.000000"
1,F,F,                  ok,3,0,-0.5,3,"-0.500000, 3.000000"
2,F,F,                  ok,13,0,-0.5,4,"-0.500000, 4.000000"
3,F,F,                  ok,9,0,-1,2,"-1.000000, 2.000000"
4,F,F,                  ok,17,0,-1,3,"-1.000000, 3.000000"
5,F,F,                  ok,16,0,-1,4,"-1.000000, 4.000000"
6,F,F,                  ok,18,0,-1.5,2,"-1.500000, 2.000000"
7,F,F,                  ok,1,0,-1.5,3,"-1.500000, 3.000000"
8,F,F,                  ok,12,0,-1.5,4,"-1.500000, 4.000000"
9,F,F,                  ok,10,0,-2,2,"-2.000000, 2.000000"
10,F,F,                  ok,2,0,-2,3,"-2.000000, 3.000000"
11,F,F,                  ok,4,0,-2,4,"-2.000000, 4.000000"
12,F,F,                  ok,20,0,-2.5,2,"-2.500000, 2.000000"
13,F,F,                  ok,15,0,-2.5,3,"-2.500000, 3.000000"
14,F,F,                  ok,8,0,-2.5,4,"-2.500000, 4.000000"
15,F,F,                  ok,19,0,-3,2,"-3.000000, 2.000000"
16,F,F,                  ok,6,0,-3,3,"-3.000000, 3.000000"
17,F,F,                  ok,14,0,-3,4,"-3.000000, 4.000000"
18,F,F,                  ok,5,0,-3.5,2,"-3.500000, 2.000000"
19,F,F,                  ok,11,0,-3.5,3,"-3.500000, 3.000000"
20,F,F,                  ok,7,0,-3.5,4,"-3.500000, 4.000000"
