#Index,Failure?,Warnings?,Exit code,#rank,#seq,IONIZATIO,HDEN=%f L,grid parameter string
0,F,F,                  ok,0,0,-0.5,2,"-0.500000, 2.000000"
1,F,F,                  ok,0,1,-0.5,3,"-0.500000, 3.000000"
2,F,F,                  ok,0,2,-0.5,4,"-0.500000, 4.000000"
3,F,F,                  ok,0,3,-1,2,"-1.000000, 2.000000"
4,F,F,                  ok,0,4,-1,3,"-1.000000, 3.000000"
5,F,F,                  ok,0,5,-1,4,"-1.000000, 4.000000"
6,F,F,                  ok,0,6,-1.5,2,"-1.500000, 2.000000"
7,F,F,                  ok,0,7,-1.5,3,"-1.500000, 3.000000"
8,F,F,                  ok,0,8,-1.5,4,"-1.500000, 4.000000"
9,F,F,                  ok,0,9,-2,2,"-2.000000, 2.000000"
10,F,F,                  ok,0,10,-2,3,"-2.000000, 3.000000"
11,F,F,                  ok,0,11,-2,4,"-2.000000, 4.000000"
12,F,F,                  ok,0,12,-2.5,2,"-2.500000, 2.000000"
13,F,F,                  ok,0,13,-2.5,3,"-2.500000, 3.000000"
14,F,F,                  ok,0,14,-2.5,4,"-2.500000, 4.000000"
15,F,F,                  ok,0,15,-3,2,"-3.000000, 2.000000"
16,F,F,                  ok,0,16,-3,3,"-3.000000, 3.000000"
17,F,F,                  ok,0,17,-3,4,"-3.000000, 4.000000"
18,F,F,                  ok,0,18,-3.5,2,"-3.500000, 2.000000"
19,F,F,                  ok,0,19,-3.5,3,"-3.500000, 3.000000"
20,F,F,                  ok,0,20,-3.5,4,"-3.500000, 4.000000"
